acct,event_date,first_txn_date,last_txn_date,total_txns,days_since_last_txn,time_gap_category,account_lifespan
fd6da4c149c34652b3e0482bea500e5d65d2f8a05311dd5282ac986c38cf2508,65,54,54,6,11,11-30_DAYS,1
82f43d1cccc8b43a6b863a0220941a537afa96dd39e3fafdbb90ea226467fd4c,85,2,61,6,24,11-30_DAYS,60
424d3f81f3e4e03b85598bab52cfee8686d5e1e1df5421400b0e4040155445df,32,2,17,19,15,11-30_DAYS,16
a93c48783e7d77772c67c0dc38d5fe45d3022ff879c74ccd149b66457ab24423,115,78,88,27,27,11-30_DAYS,11
38894ef22b215c6a01d8f6cd893f42cb788aaa3109db08e691d205093947c74c,74,1,40,20,34,31-60_DAYS,40
0a6740e1cf8a269f24940737cf3927fbe31f2ed09e3039be400e237317ae17ac,37,8,8,3,29,11-30_DAYS,1
705edb7ccd02c7ee986819e0a786e93b1e43a99aac83e0eef7da2621349585e6,53,2,4,5,49,31-60_DAYS,3
5da6462e77f67a2786cf24ea66b7ca0bf89fb6dea480e34699213a8ed7aa03c8,117,61,105,12,12,11-30_DAYS,45
69918bfcf6117fa131d81be9b6e33757b062815c4a487e7bb6fde85f5a3df4f7,97,81,82,7,15,11-30_DAYS,2
a5bd06cb8cb7963b67588617d8089170feaf504f5032c1d4dc1858f2dd622b9d,88,49,49,2,39,31-60_DAYS,1
8f26e457dcd038c94d38af38ed48641b4e5f2ac84fb44003805cfeb53b8c5def,64,22,25,5,39,31-60_DAYS,4
b69cb2f99f2479dafa1c5ab02932b932c99c6d1a46d039045e39d7d6ca0c3b32,108,2,93,15,15,11-30_DAYS,92
c6fec780530da55d0ed8b29515df4c85fddd3f6e83235c96113c1851d2cedbf5,55,18,23,10,32,31-60_DAYS,6
097c0dfff49aa60bcf9ad0ebdfa78767e4de38a820476d8f66724812d6180077,54,2,3,3,51,31-60_DAYS,2
4a4459bf20631575c60de1dd6cdc758858dd1756a8f09acb71421569914fcd25,85,5,67,4,18,11-30_DAYS,63
0d1ae94a08eeda8e31cc45a5b48edcdcf87c2f925d0fba727b8c6abf2d17ada1,101,1,77,80,24,11-30_DAYS,77
249d07f4f915216c08cb37f70ecd5a3e5afdccacfbc40c7ed84c5f30b27b3e36,95,3,15,4,80,>60_DAYS,13
f6343cd666c370cbd60528a3c3bf3ad64ba026fbb0e55eeb996f78933dafa1ad,117,15,88,10,29,11-30_DAYS,74
a1c581c0edc22271e077475ac52f9710b800a03c6fee54d73b760393ab9b6bf5,75,9,54,20,21,11-30_DAYS,46
8df22d268ba0aafdb0cab7797811091fc2311b1defdc2ee60b7924867ab458c0,51,19,19,5,32,31-60_DAYS,1
0d0fb2c1e54c86be1de3b72e0d73d8aa6d0d7aa0b43f3716ac4155f93f17f0f3,58,1,32,53,26,11-30_DAYS,32
d25752b5b07a19189be9b9cf47b790654670100689a989fa980fef1dddf350e7,117,1,64,13,53,31-60_DAYS,64
5826e7c4a33c7f3809fe683209188c173c75c0a818cae670fedf0ba01a69a401,114,4,84,49,30,11-30_DAYS,81
11a608bd428a3de9b06f28ce3abb94e766a893c00a36e5bbd501f1d6c0616f12,22,2,4,7,18,11-30_DAYS,3
f8188e589b036da5e9f4578e145f7291439e3a069cc681ffe917169b01a8316e,92,2,68,17,24,11-30_DAYS,67
3dc6d1ed5782c955c309160a8aa0da5ae0cf075a6b8ed5359ecd33afa5d6eb8e,29,1,15,9,14,11-30_DAYS,15
ad159e99baef04396dac7b8497936769609db5997dd0d0bb4fb510bf0d178a22,80,25,68,200,12,11-30_DAYS,44
2a5a8b0189e93e9337c45f420bb175b982b750e064be9679ec22f7ef5648d053,31,15,19,8,12,11-30_DAYS,5
f9b8d7b8d4215a363285f061c17c2139e3fcc86a92f26c4fa5d448031d9646fb,108,85,89,12,19,11-30_DAYS,5
13f00f7aeeaa85c8a10d1416a1b051103f554159305b6d7776e4d7b9db549dbd,20,8,8,2,12,11-30_DAYS,1
e8866bd56611337b23bfbfb0ce024ec6f01c9c3854b4e6a56bb207ed1a906104,111,15,99,25,12,11-30_DAYS,85
8908bbbd99aea8c7dea651b32064b14582db022a2728299e711b9254477518e1,102,25,81,22,21,11-30_DAYS,57
51af949a49c4da36d767bbb4561497b3d268b3cafb40689c301b3ab80861946c,120,99,100,5,20,11-30_DAYS,2
5fab9bc78015401f7cff8827778a8f4b1922cecfdf3bcf9349e5dce990879679,83,11,11,3,72,>60_DAYS,1
99801ecd493c657ec795bb680ce468304c233d9ccf037f1ade0aeea1f1671bba,15,2,2,4,13,11-30_DAYS,1
60e7c137dff3edde690e1176bb5b9c8e21074eafd5c90ae03a6374b5fa26ce4c,82,1,71,161,11,11-30_DAYS,71
c407fb7750a4014a0a47153ec8571e7df750385f5eb5db84253c334b0ac04497,47,11,17,11,30,11-30_DAYS,7
644c13eab15327d922553015122695c0e0b23b1ddce2f97ac6a1b82fec28c209,30,15,16,7,14,11-30_DAYS,2
65fd1ec9cb3f53d238697e745c1fdd7acc9ffc52798c579adba561c8ea68af29,63,1,30,13,33,31-60_DAYS,30
ee2b7af074659da210982e1062b448e9b235a172d39226de5a18be69de9d1d01,88,3,3,1,85,>60_DAYS,1
43708312905cc13681b3eccf8c1b13f59abbac1b81e9bf30e205429dd728081a,88,72,73,4,15,11-30_DAYS,2
5dcc88f9b153b5fe2b227153baeae050c6643ded6bd2bcd6db973bbf855422d9,82,10,24,9,58,31-60_DAYS,15
711bf3e1491cfbf1ad57315d2779547897ff3c0671f6156a2c4a01145be5127e,120,1,86,33,34,31-60_DAYS,86
e7d5715fca4cb7bda4545d07e32be3f5486b570c1aa14d94c2decbd8e4f7ab54,72,54,61,11,11,11-30_DAYS,8
bf4fc927e857e29e4efd1c066f5a24548bbaae303a287fd55a12e8c9861d4cc9,119,37,107,19,12,11-30_DAYS,71
843667545e4b0a7ff7ea4d71a009d00d1f013efbde35b835185d528d62d350ae,87,1,69,40,18,11-30_DAYS,69
5fe43bea898e1aef99761fe93edf478254c8538eb857f71c6e20ce39f414b211,98,5,87,25,11,11-30_DAYS,83
bc2b0e12fb0a1412c58b8d58ad92f2851c876f638c8143258c58cdee0f746628,51,21,24,7,27,11-30_DAYS,4
c663ec24cfae59eefa958ba69a0db4e56bc200804f4dc79d53eb4e6cf9c1a429,106,80,81,6,25,11-30_DAYS,2
ba516a2a12aed04e1d5db003903f432979f40496138f5ac3a338351a44784804,46,4,25,5,21,11-30_DAYS,22
be4a823c82475968d7044b3774a0f40b0b4ca86129d3a2be4045eb90c4196781,72,22,24,8,48,31-60_DAYS,3
54943da0966c59e2ed7df003ccfdd22741814e4d7cc15e3039b8ba77241cf3a9,116,1,102,64,14,11-30_DAYS,102
c6e4a0b956e06a334688ef18c6d8c84d8778cef8b2f408cf77be68cb32ca1402,74,7,51,23,23,11-30_DAYS,45
